scenario,validated_clusters,mean,bias,sd,p05,median,p95,tail_probability,sign_reversal_probability
diffuse,1,0.1,-1.3877787807814457e-17,2.2591401799415136e-17,0.09999999999999996,0.1,0.10000000000000003,0.0,0.0
diffuse,2,0.09999999999999998,-4.163336342344337e-17,3.1048005081369864e-17,0.09999999999999998,0.1,0.10000000000000003,0.0,0.0
diffuse,5,0.1,-1.3877787807814457e-17,1.1135433936911558e-17,0.09999999999999998,0.1,0.1,0.0,0.0
diffuse,10,0.1,-1.3877787807814457e-17,7.726531131962375e-18,0.09999999999999999,0.1,0.10000000000000002,0.0,0.0
diffuse,15,0.1,-1.3877787807814457e-17,4.376637224428574e-18,0.09999999999999999,0.1,0.1,0.0,0.0
diffuse,20,0.1,-1.3877787807814457e-17,0.0,0.1,0.1,0.1,0.0,0.0
concentrated,1,0.10000000000000002,0.0,0.12000000000000001,0.05999999999999996,0.06,0.46,0.1,0.0
concentrated,2,0.10000000000000002,0.0,0.08258966419340223,0.05999999999999998,0.05999999999999999,0.26,0.19473684210526315,0.0
concentrated,5,0.1,-1.3877787807814457e-17,0.047683164854341584,0.059999999999999984,0.06,0.22000000000000003,0.05263157894736842,0.0
concentrated,10,0.1,-1.3877787807814457e-17,0.027529888064467423,0.05999999999999999,0.09999999999999999,0.14,0.0,0.0
concentrated,15,0.09999999999999998,-4.163336342344337e-17,0.01589438828478053,0.05999999999999999,0.11333333333333333,0.11333333333333333,0.0,0.0
concentrated,20,0.09999999999999999,-2.7755575615628914e-17,0.0,0.09999999999999999,0.09999999999999999,0.09999999999999999,0.0,0.0
offsetting,1,0.1,-1.3877787807814457e-17,0.1788854381999832,-0.30000000000000004,0.1,0.5000000000000001,0.2,0.1
offsetting,2,0.1,-1.3877787807814457e-17,0.12311740225021851,-0.10000000000000003,0.1,0.30000000000000004,0.3473684210526316,0.1736842105263158
offsetting,5,0.10000000000000002,0.0,0.0710818653310911,0.019999999999999976,0.1,0.18000000000000005,0.5727554179566563,0.03611971104231166
offsetting,10,0.1,-1.3877787807814457e-17,0.041039134083406176,0.01999999999999999,0.1,0.18000000000000002,0.1393188854489164,0.0
offsetting,15,0.1,-1.3877787807814457e-17,0.023693955110363697,0.07333333333333333,0.1,0.12666666666666668,0.07223942208462332,0.0
offsetting,20,0.1,-1.3877787807814457e-17,0.0,0.1,0.1,0.1,0.0,0.0
